Time (UTC);Open;High;Low;Close;Volume 
2019.03.01 02:07:00;3743,8;3744,1;3743,8;3744;0,00028
2019.03.01 02:08:00;3744;3744;3743,9;3743,9;0,00012
2019.03.01 02:09:00;3743,9;3743,9;3743;3743;0,00062
2019.03.01 02:10:00;3743,1;3743,1;3743;3743;0,0003
2019.03.01 02:11:00;3743;3743;3742,6;3743;0,00064
2019.03.01 02:12:00;3743;3743;3742,1;3742,1;0,00046
2019.03.01 02:13:00;3742,1;3742,4;3742;3742,2;0,06018
2019.03.01 02:14:00;3742,2;3742,2;3741,9;3742,2;0,00012
2019.03.01 02:15:00;3742,2;3742,9;3741,8;3742,5;0,00036
2019.03.01 02:16:00;3742,5;3742,5;3742,5;3742,5;0,00032
2019.03.01 02:17:00;3742,5;3742,5;3742,5;3742,5;0,00012
2019.03.01 02:18:00;3742,5;3742,9;3742,4;3742,9;0,00018
2019.03.01 02:19:00;3742,9;3742,9;3742,9;3742,9;0,00014
2019.03.01 02:20:00;3742,9;3742,9;3740,3;3741;0,0011
2019.03.01 02:21:00;3741;3741,3;3740,9;3741,3;0,00086
2019.03.01 02:22:00;3740,8;3740,8;3740,3;3740,8;0,0004
2019.03.01 02:23:00;3740,3;3741,4;3740,3;3741,3;0,0731
2019.03.01 02:24:00;3741,3;3741,8;3741,3;3741,3;0,00036
2019.03.01 02:25:00;3741,3;3741,5;3741,3;3741,5;0,00036
2019.03.01 02:26:00;3741;3741;3740,4;3740,9;0,00046
2019.03.01 02:27:00;3740,9;3741,4;3740,9;3741,4;0,00034
2019.03.01 02:28:00;3741,6;3741,9;3741,6;3741,9;0,00022
2019.03.01 02:29:00;3741,9;3742;3741,3;3741,8;0,00052
2019.03.01 02:30:00;3741,8;3741,8;3740,4;3740,4;0,00044
2019.03.01 02:31:00;3740,4;3740,4;3740,1;3740,2;0,00022
2019.03.01 02:32:00;3740,2;3740,8;3739,9;3740,7;0,0603
2019.03.01 02:33:00;3740,8;3741,1;3740,5;3740,5;0,03756
2019.03.01 02:34:00;3740,5;3740,9;3740,5;3740,9;0,01062
2019.03.01 02:35:00;3740,9;3740,9;3740,4;3740,9;0,018
2019.03.01 02:36:00;3741,1;3741,3;3741;3741,2;0,02542
2019.03.01 02:37:00;3741,2;3741,7;3741;3741,3;0,14268
2019.03.01 02:38:00;3741,4;3742,2;3741,3;3742,1;0,11254
2019.03.01 02:39:00;3742;3742,2;3741,5;3742,2;0,03276
2019.03.01 02:40:00;3741,9;3742,2;3741,7;3741,7;0,00024
2019.03.01 02:41:00;3741,7;3741,9;3741,7;3741,7;0,00012
2019.03.01 02:42:00;3741,7;3741,7;3741;3741;0,00014
2019.03.01 02:43:00;3741;3741,4;3741;3741;0,00044
2019.03.01 02:44:00;3741;3741;3741;3741;0,0003
2019.03.01 02:45:00;3741;3741,8;3741;3741,5;0,01024
2019.03.01 02:46:00;3741,5;3741,5;3740,6;3740,6;0,0002
2019.03.01 02:47:00;3740,6;3741,3;3740,6;3741,1;0,00036
2019.03.01 02:48:00;3741,1;3741,2;3740,8;3741,2;0,0004
2019.03.01 02:49:00;3741,2;3741,2;3739,6;3740;0,00066
2019.03.01 02:50:00;3740;3740,6;3739,4;3739,4;0,01088
2019.03.01 02:51:00;3739,5;3740,2;3739,4;3740;0,09324
2019.03.01 02:52:00;3740;3740,2;3739,7;3740,2;0,00068
2019.03.01 02:53:00;3740,2;3740,3;3739,8;3739,8;0,01062
2019.03.01 02:54:00;3740;3740,3;3739,7;3739,7;0,00034
2019.03.01 02:55:00;3739,7;3740,7;3739,3;3740,7;0,04046
2019.03.01 02:56:00;3740,7;3740,7;3740,7;3740,7;0,00016
2019.03.01 02:57:00;3740,4;3740,4;3740,4;3740,4;0,13028
2019.03.01 02:58:00;3740,4;3740,4;3740,3;3740,3;0,04024
2019.03.01 02:59:00;3740,3;3740,5;3740,3;3740,5;0,07016
2019.03.01 03:00:00;3740,6;3741,5;3740,5;3741,5;0,10006
2019.03.01 03:01:00;3741,5;3741,7;3741,2;3741,2;0,03
2019.03.01 03:02:00;3741,3;3741,8;3741;3741,7;0,16524
2019.03.01 03:03:00;3741,7;3741,9;3741,5;3741,9;0,07024
